andamentos_certos,andamentos_errados
Juntada de Aviso de Recebimento (AR),Juntada de Aviso de Recebimento (AR)
Juntada de Aviso de Recebimento (AR),Conclusos
Juntada de Aviso de Recebimento (AR),Proferido despacho de mero expediente
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Decorrido prazo
Juntada de documento,Expedição de Ato Ordinatório
Juntada de documento,Expedição de Carta
Juntada de documento,Juntada de Aviso de Recebimento (AR)
Juntada de documento,Certidão emitida
Juntada de Aviso de Recebimento (AR),Conclusos
Juntada de Aviso de Recebimento (AR),Concluso para Sentença
Juntada de documento,Expedição de Ato Ordinatório
Juntada de documento,Certidão emitida
Juntada de documento,Remetidos os Autos para o Distribuidor Local
Juntada de documento,Processo Redistribuído por Sorteio
Juntada de Aviso de Recebimento (AR),Certidão emitida
Juntada de documento,Concluso para Despacho
Juntada de Petição,Proferido despacho de mero expediente
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Concluso para Despacho
Juntada de documento,Audiência Designada
Juntada de documento,Decisão Proferida
Juntada de Ofício,Certidão emitida
Juntada de Petição,Expedida carta precatória
Juntada de documento,Juntada de documento
Juntada de Petição,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Proferido despacho de mero expediente
Juntada de Petição,Conclusos
Juntada de Petição,Certidão emitida
Juntada de documento,Expedição de Ofício
Juntada de documento,Decisão Proferida
Juntada de documento,Juntada de documento
Juntada de documento,Concluso para Decisão Interlocutória
Juntada de Petição,Outras Decisões
Juntada de documento,Certidão emitida
Juntada de documento,Expedição de Ofício
Juntada de documento,Juntada de documento
Juntada de Petição,Juntada de documento
Juntada de documento,Juntada de Carta Precatória/Rogatória
Juntada de documento,Concluso para Despacho
Juntada de Petição,Concluso para Decisão Interlocutória
Juntada de documento,Audiência Designada
Juntada de documento,Juntada de Carta Precatória/Rogatória
Juntada de Petição,Outras Decisões
Juntada de documento,Certidão emitida
Juntada de Aviso de Recebimento (AR),Expedida carta precatória
Juntada de documento,Outras Decisões
Juntada de documento,Juntada de documento
Juntada de documento,Certidão emitida
